"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Perform a real pointer drag and verify the application accepts the dropped workshop.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Ein tatsächlich ziehbares Kundenobjekt und kompatible Zielzone bereitstellen.

4. Sichtbare Start-/Zielpositionen sowie den fachlichen Drop-Nachweis festlegen; Scrollen und Zwischenbewegungen berücksichtigen.","352","Drag And Drop Adds A Workshop To The Target","UI Examples","2026-09-14","passed","2026-09-14","04 Modern Browser Controls","UI components","",""
"Prerequisites: The local provider and named HTTP sessions are started by setup; synthetic JSON/XML fixtures and orders.openapi.json are in robot/data/api.
Steps and expected result: Set Content-Type=text/xml and SOAPAction=GetOrder, POST the envelope to /soap/order and compare the returned XML structure. This is an HTTP exchange with explicit XML, without a generated SOAP client.


Kundenvorbereitung (siehe robot/tests/api/README.md):

1. API-Testumgebung, erreichbare Basis-URL und Konto/Token mit den benötigten Rechten bereitstellen.

2. Demo-Serverstart im Suite-Setup durch Kunden-Session ersetzen; Session-Alias und Kunden-Evidence gemäß robot/tests/api/README.md festlegen.

3. SOAP-HTTP-Endpunkt, benötigte Header/SOAPAction und gültige Kunden-Envelope beschaffen.

4. Erwartete Antwort-Envelope samt Namespace festlegen; ein WSDL-generierter Client ist in diesem Ablauf nicht enthalten.","5","HTTP POST Sends SOAPAction And Compares The XML Envelope","","2026-09-14","passed","2026-09-14","01 Http Json Xml","API Examples","",""
"Prerequisites: Enable the xml module; inline XML and versioned files in robot/data/compare supply the inputs. No external service is needed.
Steps and expected result: Modify a tag and remove the debug element on a returned copy before checking the result.


Kundenvorbereitung (siehe robot/tests/xml/README.md):

1. XML-Modul, gültige Soll-/Ist-Dokumente und deren Namespaces/Kodierung bereitstellen.

2. Kunden-Tags/Pfade und erlaubte Filter festlegen; eigene Daten- und Diff-Ausgabepfade verwenden.

3. Vorhandenes Ziel-Element und zu entfernendes Element im Kundendokument bestimmen.

4. Das Soll-XML nach beiden Operationen festlegen; id/debug und der Wert 2 sind Beispiele.","2","Runtime XML Keywords Set And Remove Tags","Module Examples","2026-09-14","passed","2026-09-14","Xml Comparison","Xml","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Wait for the download before clicking and validate both the suggested name and the downloaded CSV contents.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Eine Kundenaktion wählen, die einen echten Dateidownload auslöst; Download-Verzeichnis beschreibbar bereitstellen.

4. Erwarteten Dateinamen, Format und Inhalt festlegen; Promise vor dem Klick registrieren, workshop.csv ersetzen.","293","Download Promise Captures The File Triggered By The Link","UI Examples","2026-09-14","passed","2026-09-14","04 Modern Browser Controls","UI components","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the login page with no signed-in user.
Steps and expected result: Demonstrate URL credentials against the local fixture, using only public demo credentials.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Prüfen, ob URL-Credentials für diesen isolierten Testzweck erforderlich sind; die Demo verwendet ausschließlich öffentliche Werte.

4. Für reale Zugangsdaten vorzugsweise den benachbarten Fall mit expliziten Kontext-Credentials anpassen.","228","HTTP Authentication Also Accepts Local Demo Credentials In The URL","UI Examples","2026-09-14","passed","2026-09-14","05 Contexts And Network Edge Cases","UI components","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the login page with no signed-in user.
Steps and expected result: Use a CSS locator when a semantic page mapping is unnecessary; check the actual input value.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Einen stabilen eindeutigen CSS- oder Rollen-Locator der Kundenseite bereitstellen.

4. Gültigen Eingabewert und auslesbare Feld-Property bestimmen; der Roh-Locator prüft keine Seitenregistrierung.","263","Technical Locator Can Be Used Directly Without A Semantic Mapping","UI Examples","2026-09-14","passed","2026-09-14","02 Automatic Page And Method Resolution","UI components","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Browser's Evaluate JavaScript uses the existing context, including the current DOM.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Eine erreichbare Kundenseite mit dem zu prüfenden DOM-Element auswählen.

4. JavaScript-Ausdruck und erwarteten Rückgabetyp bestimmen; document.title und die Body-Breite sind hier konkrete Demo-Prüfungen.","363","JavaScript Reads The Current Browser Page","UI Examples","2026-09-14","passed","2026-09-14","06 Javascript In Browser","UI components","",""
"Prerequisites: The local provider and named HTTP sessions are started by setup; synthetic JSON/XML fixtures and orders.openapi.json are in robot/data/api.
Steps and expected result: Send GET /orders/42 through the bearer-authenticated provider session. Assert HTTP 200, application/json, the expected JSON except traceId, and elapsed time below 5 seconds. Attach synthetic HTTP data and export timing metadata.


Kundenvorbereitung (siehe robot/tests/api/README.md):

1. API-Testumgebung, erreichbare Basis-URL und Konto/Token mit den benötigten Rechten bereitstellen.

2. Demo-Serverstart im Suite-Setup durch Kunden-Session ersetzen; Session-Alias und Kunden-Evidence gemäß robot/tests/api/README.md festlegen.

3. Einen lesbaren Kundendatensatz anlegen und /orders/42 durch dessen Pfad/ID ersetzen.

4. JSON-Sollfelder, zulässigen Trace-Filter, Medientyp und tatsächliche Antwortzeitgrenze festlegen.","8","HTTP GET Checks Status Header JSON Fields And Response Time","","2026-09-14","passed","2026-09-14","01 Http Json Xml","API Examples","",""
"Prerequisites: Enable the xml module; inline XML and versioned files in robot/data/compare supply the inputs. No external service is needed.
Steps and expected result: Apply the owned tag-filter/replacement rules and verify that the resulting XML structures match.


Kundenvorbereitung (siehe robot/tests/xml/README.md):

1. XML-Modul, gültige Soll-/Ist-Dokumente und deren Namespaces/Kodierung bereitstellen.

2. Kunden-Tags/Pfade und erlaubte Filter festlegen; eigene Daten- und Diff-Ausgabepfade verwenden.

3. Eine Kunden-Regeldatei mit passenden Tagfiltern/Ersetzungen erstellen.

4. Zwei unter diesen Regeln gleichwertige XML-Dokumente wählen und einen eindeutigen Diff-Pfad festlegen.","4","Configured XML Files Match","Module Examples","2026-09-14","passed","2026-09-14","Xml Comparison","Xml","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Reveal a hover menu, activate its action and assert the resulting content.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Kunden-Menü wählen, dessen Unteraktion erst nach Hover sichtbar/bedienbar wird.

4. Menü-/Aktions-Locators und den nach dem Klick erwarteten Inhalt bestimmen.","467","Hover Reveals A Menu Action","UI Examples","2026-09-14","passed","2026-09-14","04 Modern Browser Controls","UI components","",""
"Prerequisites: Start the PostgreSQL Compose service. Suite setup starts the local GUI/API with its own database table; test setup opens a fresh Chromium context and PDF evidence directory. Approved JSON/PDF fixtures are in robot/data/integration.
Steps and expected result: GET the PDF endpoint for WB-DOES-NOT-EXIST. Require HTTP 404, booking_not_found JSON and an empty independent SQL query. PASS means the missing-record response was detected; this case produces no PDF.


Kundenvorbereitung (siehe robot/tests/integration/README.md):

1. Browser-, API-, SQL- und PDF-Runtime sowie zusammengehörige Zugänge zur Kunden-Testumgebung bereitstellen.

2. Lokale Workshop-App/Tabellenerzeugung im Fixture ersetzen; Kunden-Locators, API-Pfade und SQL-Schema zuordnen.

3. Eine garantiert nicht vorhandene Kunden-ID und den zugehörigen PDF-Downloadpfad bestimmen.

4. Dokumentierten HTTP-/JSON-Fehler und unabhängige leere SQL-Abfrage festlegen; es darf kein Beleg erzeugt werden.","214","HTTP 404 JSON And SQL Verify A Missing PDF Record","","2026-09-14","passed","2026-09-14","Workshop Booking","Integration Examples","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Register the response promise before the action to avoid a race, then assert HTTP status, data and visible feedback.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Konkreten Kunden-Request samt URL-Muster, Antwortfeldern und auslösendem Control bestimmen.

4. HTTP-/Body-/UI-Sollwerte und Timeout festlegen; seats=8 und die grüne Farbe sind Demo-Erwartungen.","732","AJAX Wait Is Registered Before The Click And Checks Response And UI","UI Examples","2026-09-14","passed","2026-09-14","03 Forms And Playwright Waiting","UI components","",""
"Prerequisites: Setup starts or reuses the local server, registers page locators and opens a fresh Chromium context per row. Run the same four rows sequentially or with four Pabot workers via demo_prepare.gui.run_demo.
Steps and expected result: Use the row values in the single flat technical template: fill login, select workshop, enter note, check terms, submit and assert participant, confirmation and saved note. The runner verifies four distinct users and login overlap of one sequentially and four in parallel.


Kundenvorbereitung (siehe robot/tests/parallel/README.md):

1. Browser/Pabot-Runtime und vier unabhängige Kundenkonten samt getrennten Daten bereitstellen.

2. Kunden-Login und Locators im flachen Template umsetzen; Demo-Server/Barriere durch geeignete Kunden-Messung ersetzen.

3. Die Zeile alice / UI Automation / Alice's laptop durch ein eigenes Kundenkonto samt gültigen Formularwerten ersetzen.

4. Erwartete Bestätigung und Notiz je Konto festlegen; dieselbe Zeile in beiden Laufarten verwenden und eigene Kundendaten bereinigen.","4138","Browser Form And Text - Alice","UI Examples","2026-09-14","passed","2026-09-14","Bookings","Parallel","",""
"Prerequisites: The local provider and named HTTP sessions are started by setup; synthetic JSON/XML fixtures and orders.openapi.json are in robot/data/api.
Steps and expected result: Send GET /orders/42.xml and compare response.text with expected-order.xml. Exclude only traceId using the XML configuration; other differing fields must fail.


Kundenvorbereitung (siehe robot/tests/api/README.md):

1. API-Testumgebung, erreichbare Basis-URL und Konto/Token mit den benötigten Rechten bereitstellen.

2. Demo-Serverstart im Suite-Setup durch Kunden-Session ersetzen; Session-Alias und Kunden-Evidence gemäß robot/tests/api/README.md festlegen.

3. Kunden-Endpunkt mit XML-Antwort und eine unabhängig freigegebene XML-Soll-Datei bereitstellen.

4. Namespaces, relevante Elemente und ausdrücklich erlaubten Filter statt des Demo-Tags traceId festlegen.","7","HTTP GET Compares XML With A Trace Element Filter","","2026-09-14","passed","2026-09-14","01 Http Json Xml","API Examples","",""
"Prerequisites: The local provider and named HTTP sessions are started by setup; synthetic JSON/XML fixtures and orders.openapi.json are in robot/data/api.
Steps and expected result: POST quantity without required product. Assert HTTP 422 and expect API contract request failed; then validate the error response with validate_request=False. PASS requires both the rejected input and the valid error response.


Kundenvorbereitung (siehe robot/tests/api/README.md):

1. API-Testumgebung, erreichbare Basis-URL und Konto/Token mit den benötigten Rechten bereitstellen.

2. Demo-Serverstart im Suite-Setup durch Kunden-Session ersetzen; Session-Alias und Kunden-Evidence gemäß robot/tests/api/README.md festlegen.

3. Aus einem gültigen Kunden-Request genau ein tatsächlich erforderliches Feld entfernen.

4. Dokumentierten Fehlerstatus und Fehlerantwort im Vertrag bereitstellen; Request- und Response-Prüfung getrennt bewerten.","41","OpenAPI Rejects A Missing Request Field And Validates The 422 Response","","2026-09-14","passed","2026-09-14","02 Openapi Contract","API Examples","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the playground.
Steps and expected result: Address an open shadow root using a CSS locator; verify the component displays the entered text.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Ein Kunden-Webcomponent mit offenem Shadow Root und erreichbarem Eingabefeld wählen.

4. Host-/Kind-Locators und Sollausgabe bestimmen; geschlossene Shadow Roots sind durch diesen CSS-Weg nicht abgedeckt.","254","CSS Locator Reaches An Input Inside An Open Shadow Root","UI Examples","2026-09-14","passed","2026-09-14","04 Modern Browser Controls","UI components","",""
"Prerequisites: Start the dedicated database Compose stack. Suite setup connects using connections.cfg and creates a unique table; test setup seeds id=1, alice, booked.
Steps and expected result: Bind id=2, bob, pending into INSERT and require two rows. UPDATE that id to booked, SELECT and verify its status, then DELETE it. Query the remaining row and prove alice/booked is unchanged.


Kundenvorbereitung (siehe robot/tests/database/README.md):

1. Treiber, erreichbare Kunden-Testdatenbank und passende Verbindungsdatei samt Alias bereitstellen.

2. DDL-/Seed-/Cleanup-Fixture auf eigene Testobjekte und erlaubte Rechte umstellen; Platzhalter an den Treiber anpassen.

3. Eindeutige neue ID und erlaubte Start-/Zielwerte für INSERT und UPDATE reservieren.

4. DELETE auf diese ID begrenzen und einen unabhängigen Bestandsdatensatz zum Nachweis unveränderter Restdaten vorsehen.","20","SQL Bound Parameters Support INSERT UPDATE SELECT And DELETE","","2026-09-14","passed","2026-09-14","Mysql","Database Examples","",""
"Prerequisites: Setup starts the local demo server, registers page locators and opens Chromium with a fresh context. Public practice credentials and all controls belong to this fixture. The starting page is the login page with no signed-in user.
Steps and expected result: Switch the browser offline, verify the visible failure, then restore connectivity and retry the same operation.


Kundenvorbereitung (siehe robot/tests/browser/README.md):

1. Browser-Runtime, Kunden-Test-URL und benötigte Rolle bereitstellen; den lokalen Serverstart im Fixture ersetzen.

2. Kunden-Locators/Seitenregistrierung und isolierten Browser-Kontext vorbereiten; Details in robot/tests/browser/README.md.

3. Eine Kundenaktion mit Netzwerkaufruf und definierten Offline-/Erfolgsmeldungen auswählen.

4. Offline nur für diesen Browser-Kontext aktivieren und Wiederherstellung im FINALLY einplanen; Endpoint und Solltexte anpassen.","838","Offline Failure Is Visible And The Same Action Recovers Online","UI Examples","2026-09-14","passed","2026-09-14","05 Contexts And Network Edge Cases","UI components","",""
"Prerequisites: Enable the json module; inline JSON and versioned files in robot/data/compare supply the inputs. No external service is needed.
Steps and expected result: Catch an intentional mismatch and confirm the persisted report contains type information for both sides.


Kundenvorbereitung (siehe robot/tests/json/README.md):

1. JSON-Modul und unabhängig festgelegte Soll-/Ist-Daten des Kunden bereitstellen; Datenpfade/Inline-Werte anpassen.

2. Feldnamen, Datentypen und erlaubte Filter mit der fachlichen Erwartung abgleichen; eigenen Diff-Ausgabepfad wählen.

3. Einen absichtlichen Kundenwert-Unterschied und ein leeres eigenes Report-Verzeichnis vorbereiten.

4. Die erwartete Assertion sowie notwendige Typinformationen im gespeicherten Diff festlegen.","4","Assertion Writes A Useful Failure Report","Module Examples","2026-09-14","passed","2026-09-14","Configured Comparison And Edits","Json","",""
"Prerequisites: Enable datadriven and read the adjacent semicolon-delimited CSV. Each data row becomes a separate Robot and Allure test.
Steps and expected result: Convert the CSV values to integers, add left and right, and compare with expected. Three rows cover small, zero and negative inputs.


Kundenvorbereitung (siehe robot/tests/data-driven/README.md):

1. DataDriver-Modul und CSV-Datei mit passendem Semikolon-Dialekt und exakt passenden Argumentspalten bereitstellen.

2. Je Zeile eindeutigen Namen, Eingaben und unabhängigen Sollwert definieren; fachliche Daten der Demo ersetzen.

3. CSV-Spalten left/right/expected als ganzzahlige Eingaben und Sollsummen vorbereiten; Kundenberechnung bei Bedarf ersetzen.

4. Typkonvertierung und Sonderfälle wie Null/negative Werte vorab bestimmen; keine Log-Zeile als zusätzliche Template-Datenzeile eintragen.","3","CSV Integer Sum - Zero Value","Module Examples","2026-09-14","passed","2026-09-14","Standalone","Data-Driven","",""
